Date : 2021-01-18 15:06:43
Directory : c:\Users\phil\Documents\Arduino\libraries\H4Plugins
Total : 183 files,  11871 codes, 3489 comments, 2774 blanks, all 18134 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\TIME\H4P_OLED_NTP_CLOCK\H4P_OLED_NTP_CLOCK.ino                   | C++                |         30 |         15 |          8 |         53 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\TIME\H4P_SunriseSunset\H4P_SunriseSunset.ino                     | C++                |         12 |          0 |          3 |         15 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\TIME\H4P_Timekeeper\H4P_Timekeeper.ino                           | C++                |         33 |         15 |          7 |         55 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\WEBUI\WebUI_DynamicFields\WebUI_DynamicFields.ino                | C++                |         26 |          7 |          6 |         39 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\WEBUI\WebUI_InputFields\WebUI_InputFields.ino                    | C++                |         59 |          5 |         10 |         74 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\WEBUI\WebUI_Minimum\WebUI_Minimum.ino                            | C++                |          3 |          0 |          1 |          4 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\WEBUI\WebUI_StaticFields\WebUI_StaticFields.ino                  | C++                |         34 |          1 |          8 |         43 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\XTRAS\Generic_ESP01S\Generic_ESP01S.ino                          | C++                |          9 |          0 |          0 |          9 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\XTRAS\Generic_SONOFF\Generic_SONOFF.ino                          | C++                |         15 |         11 |          2 |         28 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\XTRAS\Generic_SONOFF_APMODE\Generic_SONOFF_APMODE.ino            | C++                |         14 |          8 |          1 |         23 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\XTRAS\Generic_SQUAWK\Generic_SQUAWK.ino                          | C++                |         44 |          8 |          7 |         59 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\XTRAS\H4P_ESWProfiler\H4P_ESWProfiler.ino                        | C++                |         19 |          1 |          7 |         27 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\XTRAS\H4P_ESWSimple\H4P_ESWSimple.ino                            | C++                |         18 |          2 |          7 |         27 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\XTRAS\H4P_SONOFF_Basic\H4P_SONOFF_Basic.ino                      | C++                |          9 |         14 |          1 |         24 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\library.properties                                                        | Properties         |         10 |          0 |          1 |         11 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\plugins.code-workspace                                                    | JSON with Comments |         20 |          0 |          0 |         20 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4PCommon.h                                                           | C++                |        264 |         52 |         31 |        347 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_AsyncMQTT.cpp                                                     | C++                |        148 |         32 |         16 |        196 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_AsyncMQTT.h                                                       | C++                |         57 |         30 |          7 |         94 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_BinarySwitch.cpp                                                  | C++                |         12 |         28 |          3 |         43 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_BinarySwitch.h                                                    | C++                |         32 |         30 |          3 |         65 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_BinaryThing.cpp                                                   | C++                |         72 |         32 |         11 |        115 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_BinaryThing.h                                                     | C++                |         66 |         29 |         10 |        105 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_ExternalSqWave.cpp                                                | C++                |         62 |         34 |         11 |        107 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_ExternalSqWave.h                                                  | C++                |         29 |         33 |         10 |         72 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_FlasherController.cpp                                             | C++                |        115 |         34 |         17 |        166 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_FlasherController.h                                               | C++                |         40 |         29 |         10 |         79 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_GPIOManager.cpp                                                   | C++                |        318 |         48 |         45 |        411 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_GPIOManager.h                                                     | C++                |        379 |         46 |         51 |        476 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_HeapWarn.cpp                                                      | C++                |         33 |         28 |          5 |         66 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_HeapWarn.h                                                        | C++                |         25 |         29 |          6 |         60 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_Heartbeat.cpp                                                     | C++                |         30 |         28 |          7 |         65 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_Heartbeat.h                                                       | C++                |         19 |         29 |         10 |         58 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_HttpMySQLLogger.h                                                 | C++                |         46 |         45 |          7 |         98 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_LocalLogger.cpp                                                   | C++                |         23 |         32 |          4 |         59 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_LocalLogger.h                                                     | C++                |         17 |         29 |          6 |         52 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_LoopCount.h                                                       | C++                |         17 |         41 |          6 |         64 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_MQTTHeapLogger.h                                                  | C++                |         18 |         29 |          2 |         49 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_MQTTLogger.h                                                      | C++                |         16 |         29 |          2 |         47 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_MQTTQueueLogger.h                                                 | C++                |         19 |         29 |          2 |         50 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_MultiFunctionButton.cpp                                           | C++                |         25 |         28 |          4 |         57 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_MultiFunctionButton.h                                             | C++                |         23 |         29 |          5 |         57 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_PersistentStorage.cpp                                             | C++                |         49 |         29 |          7 |         85 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_PersistentStorage.h                                               | C++                |         25 |         29 |          7 |         61 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_PresenceDetector.cpp                                              | C++                |        101 |         39 |         11 |        151 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_PresenceDetector.h                                                | C++                |         80 |         31 |         16 |        127 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_QueueWarn.cpp                                                     | C++                |         31 |         32 |          4 |         67 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_QueueWarn.h                                                       | C++                |         25 |         31 |          8 |         64 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_RemoteUpdate.h                                                    | C++                |         57 |         30 |          5 |         92 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_SerialCmd.cpp                                                     | C++                |        248 |         30 |         34 |        312 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_SerialCmd.h                                                       | C++                |         67 |         31 |         14 |        112 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_SerialLogger.h                                                    | C++                |         17 |         29 |          3 |         49 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_Sunrise.cpp                                                       | C++                |         73 |         42 |         10 |        125 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_Sunrise.h                                                         | C++                |         27 |         32 |          7 |         66 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_TaskSniffer.cpp                                                   | C++                |         63 |         32 |          8 |        103 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_TaskSniffer.h                                                     | C++                |         25 |         31 |          9 |         65 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_Timekeeper.cpp                                                    | C++                |        250 |         68 |         50 |        368 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_Timekeeper.h                                                      | C++                |         61 |         41 |          8 |        110 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_ToneController.cpp                                                | C++                |        194 |         37 |         25 |        256 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_ToneController.h                                                  | C++                |         53 |         30 |         12 |         95 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_UPNPServer.cpp                                                    | C++                |        159 |         47 |         19 |        225 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_UPNPServer.h                                                      | C++                |         61 |         33 |         16 |        110 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_VerboseMessages.h                                                 | C++                |         94 |         30 |          9 |        133 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_WiFi.cpp                                                          | C++                |        413 |         76 |         49 |        538 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_WiFi.h                                                            | C++                |        133 |         44 |          8 |        185 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_WiFiAP.cpp                                                        | C++                |         53 |         28 |          9 |         90 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_udpLogger.cpp                                                     | C++                |         28 |         28 |          3 |         59 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4P_udpLogger.h                                                       | C++                |         21 |         35 |          7 |         63 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4Plugins.cpp                                                         | C++                |         67 |         32 |         12 |        111 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\H4Plugins.h                                                           | C++                |         44 |          1 |          4 |         49 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\asyncHTTPrequest.cpp                                                  | C++                |        515 |        125 |         82 |        722 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\asyncHTTPrequest.h                                                    | C++                |        153 |         24 |         31 |        208 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\config.h                                                              | C++                |         28 |         55 |         13 |         96 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\h4p.reg                                                               | REG                |         35 |          0 |          0 |         35 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\h4p.vbs                                                               | Visual Basic       |          6 |          0 |          1 |          7 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\switch.ps1                                                            | PowerShell         |          6 |         12 |          1 |         19 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\xbuf.cpp                                                              | C++                |        223 |         21 |         22 |        266 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\src\xbuf.h                                                                | C++                |         41 |         35 |         10 |         86 |
| Total                                                                                                                         |                    |     11,871 |      3,489 |      2,774 |     18,134 |
+-------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
